<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140101,000000,32.6587000,32.6587000,32.6587000,32.6587000,0
20140110,000000,33.1547000,33.1547000,33.1547000,33.1547000,0
20140111,000000,33.2062000,33.2062000,33.2062000,33.2062000,0
20140114,000000,33.1204000,33.1204000,33.1204000,33.1204000,0
20140115,000000,33.2386000,33.2386000,33.2386000,33.2386000,0
20140116,000000,33.3562000,33.3562000,33.3562000,33.3562000,0
20140117,000000,33.4013000,33.4013000,33.4013000,33.4013000,0
20140118,000000,33.4343000,33.4343000,33.4343000,33.4343000,0
20140121,000000,33.6429000,33.6429000,33.6429000,33.6429000,0
20140122,000000,33.8161000,33.8161000,33.8161000,33.8161000,0
20140123,000000,33.8688000,33.8688000,33.8688000,33.8688000,0
20140124,000000,34.0334000,34.0334000,34.0334000,34.0334000,0
20140125,000000,34.2600000,34.2600000,34.2600000,34.2600000,0
20140128,000000,34.7093000,34.7093000,34.7093000,34.7093000,0
20140129,000000,34.6250000,34.6250000,34.6250000,34.6250000,0
20140130,000000,34.5633000,34.5633000,34.5633000,34.5633000,0
20140131,000000,35.2448000,35.2448000,35.2448000,35.2448000,0
20140201,000000,35.1800000,35.1800000,35.1800000,35.1800000,0
20140204,000000,35.2347000,35.2347000,35.2347000,35.2347000,0
20140205,000000,35.4502000,35.4502000,35.4502000,35.4502000,0
20140206,000000,34.9592000,34.9592000,34.9592000,34.9592000,0
20140207,000000,34.7287000,34.7287000,34.7287000,34.7287000,0
20140208,000000,34.6044000,34.6044000,34.6044000,34.6044000,0
20140211,000000,34.7636000,34.7636000,34.7636000,34.7636000,0
20140212,000000,34.7964000,34.7964000,34.7964000,34.7964000,0
20140213,000000,34.7595000,34.7595000,34.7595000,34.7595000,0
20140214,000000,34.8611000,34.8611000,34.8611000,34.8611000,0
20140215,000000,35.2559000,35.2559000,35.2559000,35.2559000,0
20140218,000000,35.0976000,35.0976000,35.0976000,35.0976000,0
20140219,000000,35.2386000,35.2386000,35.2386000,35.2386000,0
20140220,000000,35.5857000,35.5857000,35.5857000,35.5857000,0
20140221,000000,35.7670000,35.7670000,35.7670000,35.7670000,0
20140222,000000,35.6828000,35.6828000,35.6828000,35.6828000,0
20140225,000000,35.5112000,35.5112000,35.5112000,35.5112000,0
20140226,000000,35.5669000,35.5669000,35.5669000,35.5669000,0
20140227,000000,35.7872000,35.7872000,35.7872000,35.7872000,0
